X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
468930,5975580,11.79715,0.311828,25.121521,0.15,312,4,4051.77734,52.500347,73.810387
465540,5975640,10.151611,0.355556,22.284973,0.164557,312,4,1591.13171,54.252728,75.137863
469020,5975640,11.647278,0.361702,23.769287,0.180723,312,4,4073.81885,53.120125,74.274033
468900,5975880,13.153076,0.152174,21.870941,0.188119,312,4,3822.146,52.533478,73.843788
464490,5975940,11.560364,0.102041,20.903351,0.176471,313,4,648.999207,54.050056,75.040077
472020,5975940,16.054169,0.395349,24.484772,0.430657,231,3,5006.49561,52.43911,73.754463
463980,5975970,16.618195,0,28.97876,-0.081633,112,2,324.499603,51.422192,72.984802
464040,5975970,18.137207,-0.04878,33.377441,-0.229167,112,2,361.247833,50.358101,72.194321
475500,5975970,15.852264,0.07483,25.386902,-0.029412,231,3,6555.12012,51.768959,73.244431
464790,5976120,10.488251,0.204819,20.4039,0.156627,312,4,721.248901,50.120781,72.004799
466710,5976120,11.293549,0.274725,20.456696,0.190476,312,4,2058.66455,53.141117,74.337135
463770,5976180,14.695282,0.102041,25.664154,0.071429,112,2,42.426407,50.167465,72.00206
465210,5976300,10.64975,0.287356,21.274353,0.156627,312,4,872.066528,49.389549,71.424774
470790,5976450,9.499756,-0.227273,14.832855,-0.391304,512,6,4050.11108,51.768047,73.245926
479220,5976540,13.492798,0.252525,22.64801,0.106383,313,4,7287.46875,51.051743,72.699051
470100,5976600,12.808807,0.3,22.97876,0.25,311,4,3676.80566,52.443035,73.759933
466980,5976630,11.472107,0.265306,20.194855,0.244898,312,4,1909.18835,53.483891,74.598
464610,5976660,13.921021,0.12069,19.211121,0.389313,311,4,212.132034,53.389801,74.491188
472500,5976660,14.03653,0.321101,26.328827,0.191919,312,4,4592.25439,51.050087,72.697479
473760,5976660,17.543213,0.208633,24.570221,0.266667,243,3,5196.49902,51.627625,73.131874
465420,5976780,11.829041,0.221053,19.783905,0.265306,313,4,657.951355,56.544018,76.71772
464790,5976870,14.62027,0.165217,18.444885,0.395349,311,4,169.705627,59.770256,78.409698
468420,5976870,10.398956,0.255319,20.01181,0.222222,313,4,2815.8479,52.127472,73.591614
474210,5976870,20.920593,0.205882,31.6297,0.121212,243,3,5220.08643,51.173931,72.791733
465420,5976900,9.562561,0.204545,20.984894,0.313131,313,4,582.494629,49.479218,71.436508
477900,5976930,14.872314,0.298246,21.725647,0.344538,242,2,6488.12012,51.762825,73.242851
468510,5977110,14.274689,0.217391,19.387482,0.320388,311,4,2715.62158,54.367416,75.196686
472230,5977200,21.318817,0.189873,32.465668,0.073529,243,3,3989.09766,53.810753,74.758659
469590,5977260,13.52832,0.158879,19.703888,0.327434,311,4,2884.99561,54.384304,75.196739
478440,5977260,27.984009,-0.025641,24.12854,0.329412,211,3,6388.80273,52.307518,73.657372
476670,5977290,12.866608,0.516779,28.707733,-0.005988,211,3,5695.26123,51.517418,73.057587
476790,5977290,13.196075,0.555556,29.997345,-0.237624,211,3,5738.0835,51.768051,73.251083
479160,5977320,19.205475,0.170068,27.115997,0.251799,211,3,6523.2583,51.394859,72.960129
