X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
470040,5972460,15.467712,0.135135,25.386902,0.064748,231,3,6983.04395,51.809986,73.272026
459300,5972490,11.364746,0.2,22.187683,0.033708,312,4,1557.69055,51.807457,73.268669
465060,5972490,11.067047,0.295455,22.480072,0.146341,313,4,3794.37744,53.676727,74.692352
452370,5972580,20.012848,0.172414,32.068085,0.060606,123,1,2501.53955,51.807407,73.268677
451590,5972670,18.890503,0.006711,31.190308,-0.088235,123,1,2747.58081,51.806644,73.26825
464250,5972670,11.865356,0.196262,21.263489,0.022222,312,4,3215.60254,50.646084,72.396637
467970,5972700,19.961182,0.251534,30.750061,0.148387,231,3,5388.15381,52.223717,73.593613
473340,5972700,15.641785,0.144928,22.64801,0.142857,231,3,8493.44434,51.80072,73.262711
453360,5972760,15.082031,0.204301,26.291168,0.0625,312,4,1977.72595,51.287025,72.869659
454140,5972760,11.067047,0.295455,22.64801,0.119048,312,4,1679.19629,52.164825,73.545235
469110,5972790,11.461029,0.319588,22.187683,0.176471,311,4,6089.11328,53.23111,74.346817
475800,5972790,14.152344,0.5,19.740417,0.412429,211,3,9566.80176,52.007172,73.431015
453060,5972820,17.379791,0.079646,28.533386,-0.026087,112,2,2033.37158,51.781433,73.251961
473910,5972910,16.281158,0.1875,24.0224,0.090909,231,3,8573.28418,51.937164,73.365608
464970,5973030,10.392395,0.333333,19.401367,0.190476,313,4,3295.08716,51.492294,73.083145
471330,5973030,21.495514,0.030769,33.81192,-0.121212,242,2,7450.93945,51.924374,73.365776
452340,5973090,18.514343,0.055556,31.190308,0.009009,123,1,2040.22058,51.80249,73.265854
452670,5973090,19.711151,0.153846,28.97876,0.19685,112,2,1917.18542,51.14196,72.754463
475020,5973090,14.054901,0.493506,22.315918,0.16763,211,3,8925.94531,51.806908,73.271957
471480,5973180,13.884277,0.3125,25.183716,0.191011,242,2,7361.80664,51.592079,73.110359
474360,5973180,15.852264,0.114286,23.565369,0.060606,231,3,8537.93848,51.795998,73.259987
458940,5973240,9.871155,0.364706,20.334778,0.111111,312,4,752.396179,51.806915,73.272324
469980,5973270,20.351257,0.333333,25.818787,0.259843,242,2,6395.3501,51.808838,73.275322
470430,5973270,12.07608,0.320388,23.882202,0.157895,242,2,6724.61914,52.523708,73.817688
458820,5973390,9.58078,0.348837,21.808136,0.164557,312,4,569.209961,51.808823,73.275391
455400,5973420,12.852417,0.310345,26.689362,0.166667,313,4,646.219788,50.173126,72.000748
457440,5973450,15.686768,0.2,35.109955,-0.114504,242,2,300,51.697941,73.189255
458910,5973480,10.487274,0.340909,21.808136,0.139241,312,4,510.881592,51.807941,73.274895
476040,5973510,20.384979,0.164179,31.190308,0.146667,211,3,9025.41406,52.119362,73.511963
473190,5973570,21.126312,-0.054545,23.667572,0.515924,211,3,7648.5293,52.370193,73.69812
458430,5973600,17.218903,0.155963,27.639648,0.046729,242,2,284.60498,49.63382,71.57608
456570,5973630,13.245819,0.311828,23.107269,0.082353,312,4,150,51.806755,73.274231
467310,5973780,10.398956,0.310345,21.128326,0.185185,312,4,4152.26465,53.235256,74.385796
469860,5973870,17.549988,0.225352,25.386902,0.167883,231,3,5897.27051,51.397575,72.959389
464850,5974020,9.972015,0.348837,19.868652,0.15,312,4,2418.11914,47.947437,70.238754
474570,5974020,17.379791,0.024096,27.843109,-0.092105,211,3,7893.87744,51.791203,73.259201
472620,5974050,17.590332,0.251701,22.793976,0.364865,231,3,6964.97656,51.288502,72.870056
477720,5974080,20.756134,0.158621,21.592804,0.493333,231,3,9069.97754,52.373714,73.695831
466290,5974110,13.137054,0.132075,22.64801,0.1,313,4,3206.63379,53.043369,74.244438
468690,5974110,10.965485,0.266667,22.187683,0.142857,312,4,4878.20654,51.828667,73.301613
