X,Y,1999-09-13_TPZ,1999-09-13_NDVI,2002-08-20_TPZ,2002-08-20_NDVI,CLC06,CLC06_p_lato,odl_od_morza,InsCalk_1999-09,InsCalk_2002-08
477240,5974980,30.340027,0.239437,31.189087,0.153846,211,3,8058.39307,48.248604,64.095078
463530,5975100,23.974365,0.25,26.082153,0.285714,142,2,774.20929,47.836678,63.730843
473340,5975280,21.835419,0.365517,23.812408,0.383178,231,4,6206.73828,48.221069,64.069168
477360,5975280,29.584869,0.065789,30.804626,0.089431,211,3,7819.93603,48.240383,64.091118
463200,5975370,26.730011,0.19685,29.780212,0.191489,112,2,366.196655,48.230217,64.07959
472770,5975400,19.894775,0.625,23.533386,0.487603,231,4,5836.13721,48.223083,64.07193
475830,5975550,25.369507,0.307087,27.532867,0.227723,211,3,7067.84961,48.607006,64.411499
463440,5975580,27.959167,0.180952,30.804626,0.152941,112,2,324.499603,48.489506,64.309036
472560,5975580,27.27829,0.352113,32.489227,0.2,231,4,5582.25781,48.224495,64.074242
473910,5975580,29.012054,0.378378,26.276825,0.381818,231,4,6210.57959,48.685463,64.480301
469800,5975700,27.069336,0.338843,28.942688,0.3125,242,2,4445.77344,49.6306,65.311073
477990,5975730,31.996063,-0.040936,32.840149,0.115044,211,3,7626.96533,47.545628,63.475166
472620,5975910,27.212372,0.228571,29.370605,0.145631,231,4,5313.0498,48.251518,64.098015
477960,5976030,26.61264,0.259843,28.366028,0.277778,211,3,7338.72607,48.049477,63.920723
474960,5976060,20.806824,0.576923,23.302734,0.474576,231,4,6256.27686,48.216305,64.066971
476520,5976060,33.189758,-0.035971,39.337372,-0.009174,211,3,6802.06592,48.229206,64.081619
468270,5976120,20.654205,0.433962,21.627563,0.373494,313,5,3203.26392,51.703571,67.114807
463950,5976210,27.550385,0.022222,30.804626,0.041667,112,2,108.166542,47.359211,63.304131
476310,5976270,30.794495,0.054795,36.360565,0.046729,211,3,6536.48975,48.584557,64.392403
472650,5976330,26.8815,0.343284,28.759003,0.285714,242,2,4953.72607,47.948769,63.832283
478200,5976360,33.189758,-0.006211,34.969543,0.158879,211,3,7130.79248,46.915821,62.910835
473010,5976450,32.394836,0.019608,26.158539,0.075269,211,3,5017.80811,48.232792,64.08432
477270,5976540,29.584869,0.148387,27.199127,0.047619,211,3,6612.66943,47.520157,63.450115
474540,5976720,22.226379,0.404255,23.29541,0.365854,313,5,5487.70459,48.216049,64.069351
472980,5976750,32.792755,0.069182,28.751221,0.107143,211,3,4736.67627,48.684402,64.487625
477510,5976780,28.367004,0.075,28.751221,-0.030928,211,3,6473.39941,48.215385,64.068901
475560,5977170,28.533539,0.211268,34.355286,-0.035088,243,2,5445.4751,50.813824,66.333008
477270,5977200,29.17984,0.061538,34.858215,-0.008403,211,3,5994.37256,47.972954,63.852936
467700,5977230,19.628754,0.402299,20.063385,0.369863,313,5,2034.0354,45.833492,61.971794
477270,5977230,29.17984,0.092308,34.355286,0.02521,211,3,5966.45605,47.819717,63.715225
475290,5977500,28.367004,0.00578,30.292969,-0.009709,211,3,5047.1377,47.521271,63.454567
474900,5977590,28.367004,0.050633,30.804626,0.009709,211,3,4831.49023,46.791939,62.805672
478500,5977650,30.392242,0.076923,25.140564,0.421488,211,3,6024.62451,48.200035,64.055061
469950,5977710,18.950928,0.508475,20.669434,0.494737,313,5,2580.69751,47.832489,63.750381
472980,5977770,18.533783,-0.322034,18.212067,-0.217391,512,6,3843.86523,48.198914,64.054153
477450,5977860,24.448212,0.542857,38.349213,0,211,3,5455.79492,48.185459,64.040627
478200,5977860,28.367004,0.268966,32.332947,0.140187,243,2,5744.43213,48.289295,64.134361
477930,5977950,31.195953,-0.005587,34.355286,0.048387,211,3,5562.22998,48.700081,64.496155
478620,5978040,30.794495,0.010753,31.315216,0.068702,211,3,5678.48584,48.199276,64.055809
477030,5978100,24.67337,0.269231,32.332947,0.296,211,3,5070,48.202042,64.057892
478830,5978100,31.596466,0.117241,26.679413,0.101124,211,3,5682.68408,48.446568,64.274445
474600,5978160,25.905762,0.095238,23.53009,0.421053,211,3,4188.52002,46.773865,62.786686
476010,5978220,27.550385,0.060976,35.86084,-0.015385,211,3,4593.03809,48.522305,64.343567
477870,5978220,33.529694,0.10559,34.858215,0.150442,211,3,5290.98291,48.200691,64.058113
471060,5978310,19.140137,0.504762,19.005341,0.438202,313,5,2479.13281,49.243649,64.988884
476820,5978340,31.195953,-0.07483,20.348816,0.574468,211,3,4768.77344,48.253998,64.101746
474720,5978370,23.327423,0.33945,24.952911,0.266667,211,3,4038.87354,47.938038,63.823257
476340,5978400,27.140656,0.144578,32.332947,0.016949,211,3,4540.41846,48.207603,64.06192
473340,5978460,26.694611,0.283582,28.739563,0.207921,211,3,3420.52637,48.643177,64.461296
475350,5978490,24.368103,0.394366,26.679413,0.071429,211,3,4127.04492,48.904205,64.677963
477450,5978490,25.127197,0.576471,39.337372,-0.022222,211,3,4880.69678,48.197941,64.056091
477420,5978520,23.003876,0.59116,40.812103,-0.010989,211,3,4841.53906,48.197746,64.055901
477600,5978520,27.548065,0.24812,36.360565,-0.035294,211,3,4908.46191,48.516884,64.33651
477120,5978640,21.815308,0.602151,33.851318,-0.025641,211,3,4608.88281,48.273026,64.119995
475080,5978670,24.273499,0.446154,27.596466,0.333333,211,3,3870.81396,48.839645,64.621101
477720,5978670,27.803558,0.223022,37.853577,-0.02439,211,3,4818.80713,48.192863,64.051079
476640,5978700,21.946655,0.463087,22.915009,0.441441,231,4,4368.06592,48.182663,64.039261
476430,5978730,27.395538,0.119497,29.266296,0,211,3,4267.28272,48.192078,64.050125
479220,5978820,23.689789,0.578378,29.266296,0.102804,211,3,5113.48242,48.202072,64.059479
478530,5978850,30.644287,0.178808,29.780212,0.017544,211,3,4876.82275,48.197487,64.057053
479310,5979090,29.474731,0.187097,31.824615,-0.063063,211,3,4885.94922,48.881435,64.659195
478230,5979300,29.989014,0.157895,19.874207,0.560284,211,3,4359.91992,47.926857,63.812912
475560,5979390,25.949493,0.397849,28.355591,0.318182,211,3,3339.85034,48.633968,64.441109
475110,5979450,30.392242,0.074627,27.717682,0.169811,211,3,3140.27075,48.874569,64.656555
473040,5979510,20.366425,0.358025,21.041138,0.323529,312,5,2334.99463,48.525497,64.371033
475200,5979540,28.23999,0.234375,28.76239,0.27451,211,3,3083.58569,48.192017,64.049011
479070,5979600,34.306366,0.169014,32.332947,0.017241,211,3,4326.0376,48.189823,64.05143
471330,5979660,28.092529,0.299145,31.99469,0.232323,211,3,1398.4635,47.84417,63.749535
479640,5979810,26.841827,0.221239,29.111267,0.208333,211,3,4316.76953,47.86351,63.758232
475470,5979840,28.937378,0.255172,29.584106,0.271028,211,3,2886.24316,48.193893,64.056946
476580,5979930,21.560425,0.169231,18.736847,0.084746,231,4,3210.56079,48.170414,64.030739
475410,5980110,24.510986,0.333333,32.840149,0.036364,211,3,2612.75708,49.364471,65.073036
476310,5980230,19.904449,0.564516,21.036621,0.528302,231,4,2830.19434,48.17688,64.036499
474240,5980260,26.047546,0.338346,25.036072,0.326923,211,3,2096.7832,50.858059,66.352509
479340,5980260,27.949341,0.315436,30.292969,0.042017,211,3,3793.90308,47.440407,63.37785
473730,5980530,27.287537,0.404494,27.06543,0.4375,211,3,1669.79041,51.654472,67.045158
471180,5980680,20.744385,0.388235,21.999268,0.305556,312,5,429.534637,46.015629,62.087723
479250,5980710,31.596466,-0.054264,28.751221,-0.012048,211,3,3339.58081,48.521347,64.346077
478260,5980770,31.195953,0.046875,32.385132,0.196078,211,3,2960.13525,48.17083,64.034653
479460,5980890,32.394836,-0.051095,28.751221,0.009174,211,3,3242.36035,48.253883,64.108025
478260,5980920,33.189758,-0.023256,31.143982,0.269565,211,3,2817.60547,48.169899,64.034218
479220,5980980,29.788086,0.218045,27.881561,0.176471,211,3,3073.79248,48.169289,64.033661
476940,5981010,18.736053,-0.111111,18.197174,-0.142857,512,6,2353.04053,48.159306,64.02256
478260,5981010,29.17984,0.009524,33.851318,0.09434,211,3,2732.47144,47.68182,63.599922
476670,5981430,18.736053,-0.106383,18.736847,-0.16,512,6,1867.24402,48.155022,64.019402
477840,5982990,21.041718,0.430657,21.304596,0.454545,231,4,721.248901,48.867321,64.650841
479670,5983200,22.614563,0.432432,21.66983,0.495652,231,4,1247.7981,48.140133,64.009796
478950,5983230,20.684296,0.483333,21.75058,0.474747,311,5,898.999451,48.139839,64.009575
479460,5983590,20.762054,0.467742,21.238708,0.466667,231,4,804.984497,48.139503,64.010559
481050,5983650,22.059784,0.386139,22.810547,0.357143,313,5,1475.80481,48.132301,64.002769
480510,5983770,25.211395,0.288889,25.373444,0.352381,231,4,1132.07776,48.323395,64.172867
480750,5984430,19.085754,0.557377,19.038605,0.495146,313,5,644.127319,48.130798,64.004242
482670,5984640,22.151978,0.327103,22.450012,0.368421,312,5,1423.0249,48.125359,63.998966
483060,5984700,21.982727,0.383459,22.357056,0.457944,411,5,1633.55444,48.121563,63.994911
481320,5984730,19.179749,0.538462,20.107758,0.494949,313,5,674.166138,48.127731,64.001991
484470,5985000,22.062469,0.375,23.164246,0.345133,231,4,2564.78076,48.118507,63.992672
472740,5963220,-999,-999,20.625336,0.491525,411,5,15784.0488,48.245903,64.071823
472650,5965350,-999,-999,21.938965,0.344828,411,5,14008.9404,48.964424,64.706345
473790,5965380,-999,-999,36.315094,0.18,211,3,14714.8086,48.357407,64.180374
472920,5965500,-999,-999,29.781128,0.223301,211,3,14062.3535,47.800106,63.681919
474360,5965530,-999,-999,29.266296,0.154639,112,2,14985.1729,48.590282,64.381859
473970,5965560,-999,-999,29.458466,0.264151,211,3,14699.3877,48.294945,64.122559
474300,5965560,-999,-999,29.9198,0.244898,112,2,14922.3086,48.337219,64.159775
473040,5965590,-999,-999,32.907104,0.204082,211,3,14070.3838,49.381718,65.074722
473550,5965680,-999,-999,37.356903,-0.031579,211,3,14330.96,48.771484,64.545013
473460,5965860,-999,-999,37.356903,-0.028571,211,3,14136.2402,47.630844,63.533195
474480,5966010,-999,-999,31.315216,0.066667,112,2,14720.9238,48.406246,64.214561
473490,5966040,-999,-999,34.858215,0.019231,211,3,14021.5264,48.129887,63.977402
474000,5966070,-999,-999,37.853577,0.069307,211,3,14345.208,48.341278,64.167633
474120,5966100,-999,-999,25.421631,0.275,211,3,14406.4053,49.068287,64.807533
472260,5966550,-999,-999,20.768463,0.495495,231,4,12833.6201,48.310051,64.134476
472500,5966640,-999,-999,22.819183,0.433628,231,4,12918.3008,48.309135,64.133804
473910,5966790,-999,-999,29.925629,0.26,112,2,13758.0996,48.210541,64.049301
473490,5966880,-999,-999,24.221558,0.381818,211,3,13407.8184,47.628677,63.528828
